Ed Sheeran,acoustic,Justin Timberlake,pop,10
Ed Sheeran,acoustic,Lorde,pop,5
Ed Sheeran,acoustic,The Chainsmokers,electronic,9
Ed Sheeran,acoustic,The Beatles,classic rock,14
Ed Sheeran,acoustic,The xx,indie,9
Ed Sheeran,acoustic,Mariah Carey,pop,2
Ed Sheeran,acoustic,Britney Spears,pop,2
Ed Sheeran,acoustic,Michael Jackson,pop,13
Ed Sheeran,acoustic,Kanye West,hip-hop,5
Ed Sheeran,acoustic,Florence + the Machine,indie,5
Ed Sheeran,acoustic,Carly Rae Jepsen,pop,1
Ed Sheeran,acoustic,Linkin Park,rock,10
Ed Sheeran,acoustic,David Guetta,electronic,12
Ed Sheeran,acoustic,Bob Dylan,folk,6
Ed Sheeran,acoustic,Selena Gomez,pop,4
Ed Sheeran,acoustic,Miley Cyrus,pop,1
Ed Sheeran,acoustic,Charlie Puth,pop,4
Ed Sheeran,acoustic,Avicii,electronic,8
Ed Sheeran,acoustic,Shawn Mendes,pop,2
Ed Sheeran,acoustic,Daft Punk,electronic,11
Ed Sheeran,acoustic,Kendrick Lamar,hip-hop,4
Ed Sheeran,acoustic,Major Lazer,electronic,11
Ed Sheeran,acoustic,Pink Floyd,classic rock,8
Ed Sheeran,acoustic,Led Zeppelin,classic rock,8
Ed Sheeran,acoustic,Red Hot Chili Peppers,rock,10
Ed Sheeran,acoustic,Queen,classic rock,12
Ed Sheeran,acoustic,Metallica,metal,6
Ed Sheeran,acoustic,Nirvana,grunge,8
Ed Sheeran,acoustic,U2,rock,5
Ed Sheeran,acoustic,Guns N' Roses,hard rock,4
Ed Sheeran,acoustic,Green Day,punk rock,4
Ed Sheeran,acoustic,The Rolling Stones,classic rock,7
Ed Sheeran,acoustic,Arctic Monkeys,indie rock,8
Ed Sheeran,acoustic,AC/DC,hard rock,2
Ed Sheeran,acoustic,John Mayer,acoustic,4
Ed Sheeran,acoustic,Foo Fighters,rock,4
Ed Sheeran,acoustic,Hans Zimmer,instrumental,2
Ed Sheeran,acoustic,The Doors,classic rock,3
Ed Sheeran,acoustic,Oasis,rock,8
Ed Sheeran,acoustic,Pearl Jam,grunge,1
Ed Sheeran,acoustic,Twenty One Pilots,alternative,1
Ed Sheeran,acoustic,Beck,alternative,1
Ed Sheeran,acoustic,Gorillaz,alternative,5
Ed Sheeran,acoustic,Tame Impala,psychedelic rock,3
Ed Sheeran,acoustic,Modest Mouse,indie,-1
Ed Sheeran,acoustic,Sufjan Stevens,indie,-1
Lana Del Rey,indie,Coldplay,rock,13
Lana Del Rey,indie,Adele,soul,13
Lana Del Rey,indie,Rihanna,pop,12
Lana Del Rey,indie,Maroon 5,rock,9
Lana Del Rey,indie,Ed Sheeran,acoustic,11
Lana Del Rey,indie,Sia,pop,13
Lana Del Rey,indie,Taylor Swift,country,3
Lana Del Rey,indie,The Weeknd,rnb,12
Lana Del Rey,indie,Radiohead,alternative,13
Lana Del Rey,indie,Lady Gaga,pop,3
Lana Del Rey,indie,Drake,hip-hop,12
Lana Del Rey,indie,Calvin Harris,electronic,12
Lana Del Rey,indie,Imagine Dragons,indie,11
Lana Del Rey,indie,Katy Perry,pop,5
Lana Del Rey,indie,Ariana Grande,pop,4
Lana Del Rey,indie,Ellie Goulding,electronic,6
Lana Del Rey,indie,Beyoncé,rnb,4
Lana Del Rey,indie,Justin Bieber,pop,4
Lana Del Rey,indie,Sam Smith,soul,3
Lana Del Rey,indie,David Bowie,rock,12
Lana Del Rey,indie,Bruno Mars,pop,4
Lana Del Rey,indie,OneRepublic,rock,7
Lana Del Rey,indie,Eminem,rap,11
Lana Del Rey,indie,Justin Timberlake,pop,7
Lana Del Rey,indie,Lorde,pop,5
Lana Del Rey,indie,The Chainsmokers,electronic,7
Lana Del Rey,indie,The Beatles,classic rock,13
Lana Del Rey,indie,The xx,indie,10
Lana Del Rey,indie,Mariah Carey,pop,1
Lana Del Rey,indie,Britney Spears,pop,2
Lana Del Rey,indie,Michael Jackson,pop,12
Lana Del Rey,indie,Kanye West,hip-hop,4
Lana Del Rey,indie,Florence + the Machine,indie,6
Lana Del Rey,indie,Linkin Park,rock,10
Lana Del Rey,indie,David Guetta,electronic,10
Lana Del Rey,indie,Bob Dylan,folk,6
Lana Del Rey,indie,Selena Gomez,pop,3
Lana Del Rey,indie,Miley Cyrus,pop,1
Lana Del Rey,indie,Charlie Puth,pop,2
Lana Del Rey,indie,Avicii,electronic,7
Lana Del Rey,indie,Shawn Mendes,pop,1
Lana Del Rey,indie,Daft Punk,electronic,11
Lana Del Rey,indie,Kendrick Lamar,hip-hop,3
Lana Del Rey,indie,Major Lazer,electronic,9
Lana Del Rey,indie,Pink Floyd,classic rock,10
Lana Del Rey,indie,Led Zeppelin,classic rock,10
Lana Del Rey,indie,Red Hot Chili Peppers,rock,11
Lana Del Rey,indie,Queen,classic rock,12
Lana Del Rey,indie,Metallica,metal,7
Lana Del Rey,indie,Nirvana,grunge,10
Lana Del Rey,indie,U2,rock,5
Lana Del Rey,indie,Guns N' Roses,hard rock,3
Lana Del Rey,indie,Green Day,punk rock,5
Lana Del Rey,indie,The Rolling Stones,classic rock,9
Lana Del Rey,indie,Arctic Monkeys,indie rock,8
Lana Del Rey,indie,AC/DC,hard rock,1
Lana Del Rey,indie,John Mayer,acoustic,2
Lana Del Rey,indie,Foo Fighters,rock,4
Lana Del Rey,indie,Hans Zimmer,instrumental,2
Lana Del Rey,indie,The Doors,classic rock,3
Lana Del Rey,indie,Oasis,rock,6
Lana Del Rey,indie,Pearl Jam,grunge,1
Lana Del Rey,indie,Twenty One Pilots,alternative,2
Lana Del Rey,indie,Beck,alternative,1
Lana Del Rey,indie,Gorillaz,alternative,7
Lana Del Rey,indie,Tame Impala,psychedelic rock,3
Sia,pop,Coldplay,rock,18
Sia,pop,Adele,soul,17
Sia,pop,Rihanna,pop,17
Sia,pop,Maroon 5,rock,14
Sia,pop,Ed Sheeran,acoustic,15
Sia,pop,Lana Del Rey,indie,13
Sia,pop,Taylor Swift,country,5
Sia,pop,The Weeknd,rnb,17
Sia,pop,Radiohead,alternative,17
Sia,pop,Lady Gaga,pop,4
Sia,pop,Drake,hip-hop,16
Sia,pop,Calvin Harris,electronic,17
Sia,pop,Imagine Dragons,indie,15
Sia,pop,Katy Perry,pop,8
Sia,pop,Ariana Grande,pop,7
Sia,pop,Ellie Goulding,electronic,8
Sia,pop,Beyoncé,rnb,6
Sia,pop,Justin Bieber,pop,8
Sia,pop,Sam Smith,soul,6
Sia,pop,David Bowie,rock,14
Sia,pop,Bruno Mars,pop,7
Sia,pop,OneRepublic,rock,9
Sia,pop,Eminem,rap,12
Sia,pop,Justin Timberlake,pop,11
Sia,pop,Lorde,pop,6
Sia,pop,The Chainsmokers,electronic,9
Sia,pop,The Beatles,classic rock,17
Sia,pop,The xx,indie,12
Sia,pop,Mariah Carey,pop,2
Sia,pop,Britney Spears,pop,2
Sia,pop,Michael Jackson,pop,15
Sia,pop,Kanye West,hip-hop,6
Sia,pop,Florence + the Machine,indie,6
Sia,pop,Carly Rae Jepsen,pop,1
Sia,pop,Linkin Park,rock,11
Sia,pop,David Guetta,electronic,12
Sia,pop,Bob Dylan,folk,7
Sia,pop,Selena Gomez,pop,4
Sia,pop,Miley Cyrus,pop,1
Sia,pop,Charlie Puth,pop,4
Sia,pop,Avicii,electronic,8
Sia,pop,Shawn Mendes,pop,2
Sia,pop,Daft Punk,electronic,14
Sia,pop,Kendrick Lamar,hip-hop,5
Sia,pop,Major Lazer,electronic,13
Sia,pop,Pink Floyd,classic rock,11
Sia,pop,Led Zeppelin,classic rock,11
Sia,pop,Red Hot Chili Peppers,rock,13
Sia,pop,Queen,classic rock,15
Sia,pop,Metallica,metal,8
Sia,pop,Nirvana,grunge,11
Sia,pop,U2,rock,6
Sia,pop,Guns N' Roses,hard rock,4
Sia,pop,Green Day,punk rock,5
Sia,pop,The Rolling Stones,classic rock,10
Sia,pop,Arctic Monkeys,indie rock,10
Sia,pop,AC/DC,hard rock,2
Sia,pop,John Mayer,acoustic,4
