Rihanna,Queen,14
Rihanna,Metallica,7
Rihanna,Nirvana,10
Rihanna,U2,5
Rihanna,Guns N' Roses,4
Rihanna,Green Day,4
Rihanna,The Rolling Stones,9
Rihanna,Arctic Monkeys,9
Rihanna,AC/DC,2
Rihanna,John Mayer,4
Rihanna,Foo Fighters,5
Rihanna,Hans Zimmer,2
Rihanna,The Doors,3
Rihanna,Oasis,9
Rihanna,Pearl Jam,1
Rihanna,Twenty One Pilots,1
Rihanna,Weezer,1
Rihanna,Beck,3
Rihanna,Fleetwood Mac,1
Rihanna,Gorillaz,7
Rihanna,Tame Impala,5
Rihanna,Childish Gambino,1
Maroon 5,Coldplay,15
Maroon 5,Adele,13
Maroon 5,Rihanna,14
Maroon 5,Ed Sheeran,13
Maroon 5,Lana Del Rey,9
Maroon 5,Sia,14
Maroon 5,Taylor Swift,5
Maroon 5,The Weeknd,14
Maroon 5,Radiohead,14
Maroon 5,Lady Gaga,4
Maroon 5,Drake,13
Maroon 5,Calvin Harris,14
Maroon 5,Imagine Dragons,12
Maroon 5,Katy Perry,8
Maroon 5,Ariana Grande,7
Maroon 5,Ellie Goulding,8
Maroon 5,Beyoncé,5
Maroon 5,Justin Bieber,8
Maroon 5,Sam Smith,6
Maroon 5,David Bowie,11
Maroon 5,Bruno Mars,7
Maroon 5,OneRepublic,9
Maroon 5,Eminem,8
Maroon 5,Justin Timberlake,10
Maroon 5,Lorde,5
Maroon 5,The Chainsmokers,9
Maroon 5,The Beatles,14
Maroon 5,The xx,8
Maroon 5,Mariah Carey,2
Maroon 5,Britney Spears,2
Maroon 5,Michael Jackson,13
Maroon 5,Kanye West,4
Maroon 5,Florence + the Machine,4
Maroon 5,Carly Rae Jepsen,1
Maroon 5,Linkin Park,10
Maroon 5,David Guetta,10
Maroon 5,Bob Dylan,5
Maroon 5,Selena Gomez,4
Maroon 5,Miley Cyrus,1
Maroon 5,Charlie Puth,4
Maroon 5,Avicii,7
Maroon 5,Shawn Mendes,2
Maroon 5,Daft Punk,11
Maroon 5,Kendrick Lamar,4
Maroon 5,Major Lazer,10
Maroon 5,Pink Floyd,7
Maroon 5,Led Zeppelin,8
Maroon 5,Red Hot Chili Peppers,10
Maroon 5,Queen,12
Maroon 5,Metallica,6
